sired_nations;vodafone_nations
AfricaMed;Africa Med
AltriAfrica;Altri Africa
AltriAmerica;Altri America
AltriAsia;Altri Asia
AltriEuropa;Altri Europa
AltriExtraEU;Altri ExtraEU
AltriMedioOriente;Altri Medio Oriente
AltriNordAmerica;Altri Nord America
AltriOceania;Altri Oceania
Argentina;Argentina
Australia;Australia
Austria;Austria
Belgio;Belgium
Bielorussia;Bielorussia
Brasile;Brazil
Bulgaria;Bulgaria
Canada;Canada
Cina;China
Cipro;Cyprus
CoreaSud;South Korea
Croazia;Croatia
Danimarca;Denmark
Egitto;Egypt
Estonia;Estonia
Finlandia;Finland
Francia;France
Germania;Germany
Giappone;Japan
Grecia;Greece
India;India
Irlanda;Ireland
Islanda;Iceland
Israele;Israel
Lettonia;Lettonia
Lituania;Lithuania
Lussemburgo;Luxembourg
Malta;Malta
Messico;Mexico
Moldavia;Moldova
Norvegia;Norway
NuovaZelanda;New Zealand
PaesiBassi;Netherlands
Polonia;Poland
Portogallo;Portugal
RegnoUnito;United Kingdom
RepubblicaCeca;Czech Republic
Romania;Romania
Russia;Russian Federation
Slovacchia;Slovakia
Slovenia;Slovenia
Spagna;Spain
Sudafrica;South Africa
Svezia;Sweden
Svizzera;Switzerland
Turchia;Turkey
Ucraina;Ukraine
Ungheria;Hungary
USA;United States
Venezuela;Venezuela
