"vodafone_regions","sired_regions"
"Abruzzo","Abruzzo"
"Basilicata","Basilicata"
"Calabria","Calabria"
"Campania","Campania"
"Emilia-Romagna","EmiliaRomagna"
"Friuli Venezia Giulia","FriuliVeneziaGiulia"
"Lazio","Lazio"
"Liguria","Liguria"
"Lombardia","Lombardia"
"Marche","Marche"
"Molise","Molise"
"Piemonte","Piemonte"
"Puglia","Puglia"
"Sardegna","Sardegna"
"Sicilia","Sicilia"
"Toscana","Toscana"
"Trentino-Alto Adige","Trentino"
"Umbria","Umbria"
"Valle D'Aosta","ValledAosta"
"Veneto","Veneto"
